note-text,location
洋牡丹：你全家是茼蒿,上海
哈哈哈哈哈，茼蒿开花也很可爱的，菊科,湖北
你是说洋牡丹这种精心养护稍不开心就死给我看的矫情花在上海是绿化带？,北京
北京真的会种菜,北京
话说花毛茛和洋牡丹啥区别，路边拍到搜图告诉我是花毛茛,上海
龙湖虹桥天街,上海
俗名断头王,上海
谁能理解雨天上班路上看到的治愈感,上海
你这让我想到我朋友说这是紫甘蓝和郁金香种起来了吗,上海
，在哪里我要去,上海
啊好羡慕，刚才看见我们这里路边卖花的，郁金香3块一朵，洋牡丹也是15才几只，那边居然可以种在路边,黑龙江
这叫上海市税花,上海
花毛茛 仙客来,上海
这个也好漂亮,山东
我买了盆一模一样的！15,江苏
我家那里的商场门口种了很多迷迭香一样的绿化。我有天趁晚上偷感很重地过去摸了一把，闻味道确认了就是迷迭香。真好啊……等我哪天要烤鸡了就来偷2根【开玩笑的,广东
今年怎么路边都在种洋牡丹啊！！,浙江
老实孩子就想：茼蒿这花这么好看，叶子还能吃，我得种一盆,北京
快把花友都乐死了，看啥都能吃，不过和芹菜科倒是亲戚。,北京
你别说，你真别说，确实像茼蒿啊,上海
洋牡丹非常容易挂掉，茎是空心的,黑龙江
这题我会！ 前几天刚买,德国
花毛茛,山东
别说，折起来也像菜，中空的，当时没回来醒花有种接下来改,上海
花毛茛 我喜欢,山东
洋牡丹？,上海
花毛茛，又名洋牡丹，又名芹叶牡丹,吉林
公园绿化带:“茼蒿，韭菜，花椰菜，甘蓝……都有的”,上海
花毛茛 仙客来 玉兰,贵州
这是什么花呀，在上海绿化带看到的,广东
花毛茛,上海
花毛茛，洋牡丹,福建
俗称:纳税人的💰,上海
这两天长高了,上海
洋牡丹，我昨天在人民广场绿化带看到的时候一整个不敢相信,上海
洋牡丹和仙客来，最后一张是玉兰花吗。,安徽
毛茛，后面的是仙客来,新疆
真的很像,福建
在上海不用养花，出门就是高级好看的花。,天津
洋牡丹和茼蒿是同一科目么？,北京
洋牡丹，芹叶牡丹（学名：花毛莨(gen 第四声）。英文名字：Ranunculus asiaticus）是多年生宿根草本花卉。冬末至春季（约12月至5月）开花的球根花卉。喜冷冰湿润，阳光充足的环境，不耐热，夏季地上部分会干枯休眠。话语为“迷人的魅力”和“受欢迎”。,美国
陪一张,上海
我种的大菊，邻居问我种的是不是艾草啊，做青团用,浙江
叫什么毛莨好像是，我看花卉市场也有卖,河北
花毛茛吧，它开的花好好看，又叫洋牡丹,广西
上次带我妈来上海玩，他观察了半天最后鉴定外白渡桥边上绿化带里种的是韭菜,上海
红色的仙客来还挺好看的，花毛茛太难养了，动不动就断个头给你看,湖南
我想问北京园林局是不是和内蒙结对了，不是送风就是送沙。杨树毛子柳树绒子。,北京
北京的洋牡丹,北京
确实很像茼蒿啊哈哈哈哈哈,上海
花毛茛，仙客来，最后那是什么？,山东
第三张照片红花后面还是满天星,上海
其实茼蒿花很漂亮的，比雏菊好看,重庆
点赞是花花,上海
毛茛，洋牡丹,上海
茼蒿的花像个小太阳🔆，也很好看,江苏
？？？真的是茼蒿吗,上海
茼蒿也能开花了,上海
曾经买一把洋牡丹，摘叶子的过程真的就是在摘菜，同事问我是啥，我就说是茼蒿,广西
毛茛花，也叫洋牡丹我家阳台也种了，色彩艳丽，花期很长,上海
洋牡丹，仙客来？,海南
特别好看的毛良茛,上海
毛良莨,广东
开花了，老了，不能凉拌哦,江苏
只有巴子才说是茼蒿，是洋牡丹,上海
花毛茛/芹叶牡丹,澳大利亚
花毛茛,上海
洋牡丹，仙客来，玉兰,天津
花毛茛吧,江苏
哦，我知道这个菜，这个菜有股味儿,湖南
洋牡丹，花毛茛,河南
洋牡丹？,北京
毛茛、仙客来、玉兰,浙江
是花毛茛，非常看天气看土质的它,江苏
洋牡丹回怼：你才是茼蒿,陕西
洋牡丹，仙客来,湖南
哈哈哈，好好笑,云南
花毛茛只能这样露养才能养好，但凡室内必死,天津
你就说像不像吧,浙江
茼蒿花我还是看过的，毕竟有时候买到老的了,重庆
过年买了三棵，每天细心呵护的看着还是死了两棵，剩一棵半死不活,河南
花毛茛，俗称洋牡丹,上海
洋牡丹吧,广东
天竺葵在川渝----冬寒菜,上海
上海的学校里都种的郁金香,上海
洋牡丹,上海
西安最繁华的路口，天桥上种的油菜花，就长长短短的开着小黄花,陕西
茼蒿花也很漂亮的，像微形向日葵,重庆
第四张是玉兰花,上海
第三张是仙客来,上海
想起我爸很多年前不知道从哪弄了棵鹤望兰，精心养了好几年，从来不开花，我去杭州实习的时候发现人家种在绿化带里，开的那叫一个好看，我爸听了都快崩溃了,山东
不愧是帝都，路边花都这么漂亮高大上，特别喜欢这花，不过挺难养，一直沉迷于这朵花的颜值,山东
杨浦滨江，好多洋牡丹,上海
洋牡丹,浙江
洋牡丹,上海
真的是个好季节！,上海
洋牡丹吧,江苏
评论区看下来，还是海大富有钱，绿化带已经进入next level,江苏
之前乡里集会上碰到有卖这些花的，我呆着多看了会儿，路过大爷问大娘这什么花？大娘说这是那个木乃伊 康乃伊,河南
我以前在我妈菜地里采了萝卜花，紫色的，我同事以为买的,江苏
花毛茛，也叫欧洲牡丹。,广东
芍药啊,福建
我也注意到了，比手都大的洋牡丹，给我一个从来都是自己买花也没养好洋牡丹的人看力竭了,上海
dang o,上海
重瓣花毛茛，洋牡丹，芹叶牡丹，每年阳台的常驻春花,湖北
芹叶牡丹,山东
我家楼下也好多,上海
花毛茛（洋牡丹、芹叶牡丹）,北京
芹叶牡丹,辽宁
毛莨,上海
花毛茛风评被害,上海
确实有人采绿化带的花毛茛吃中毒以为是茼蒿,浙江
一说茼蒿我就感觉馋了,重庆
不得不说，这个叶子跟茼蒿是挺像的，这个大哥还是挺生活的一个人,云南
趋同效应和幼苗效应，是有点像,江苏
,安徽
花毛茛，别名洋牡丹,日本
原来茼蒿开出来的是洋牡丹,天津
奏是洋气,河南
茼蒿开花和花店里最便宜那种花很像,江苏
洋牡丹，3是仙客来，4是玉兰,安徽
这个我家有,上海
嗯嗯，大茼蒿，像呢,江苏
花毛茛啊，花期挺长的,云南
单均昊！,上海
花毛茛？,北京
洋牡丹，其实跟茼蒿是亲戚,湖北
,马来西亚
它叫洋牡丹,上海
花毛茛，仙客来，紫玉兰,上海
芹叶牡丹，学名花毛茛,上海
,安徽
洋牡丹？,湖南
陆莲/洋牡丹/花毛茛,上海
洋牡丹，是我最喜欢的花,上海
图一图二花毛茛,上海
洋牡丹呀,上海
芹菜花,江苏
洋桔梗,上海
12年前的这个时候，我也在陆家嘴,湖北
洋牡丹，花期很长,湖北
花毛茛、洋牡丹,上海
花毛茛？,上海
花毛茛,江苏
牡丹,云南
花毛茛=洋牡丹,上海
真的很像筒篙，哈哈哈哈,上海
花毛茛，又名洋牡丹,广东
芹叶牡丹,山东
哇，仙客来,重庆
大头洋牡丹啊！,上海
芹叶牡丹。,河北
P1-2毛茛 又叫洋牡丹   P3仙客来,江苏
花毛茛:你才是茼蒿,北京
？？？？？？不能试茼蒿吧，，，，绿化带种菜了,浙江
花毛茛，俗称洋牡丹,上海
两位男士很不错，一听就是常买菜常做菜的，还能认识茼蒿,江苏
这是花毛莨,江苏
我家,浙江
第一第二张学名花毛茛，第三张仙客来,上海
第三张图是仙客来，第四张是玉兰花,上海
第一第二张图是洋牡丹，很漂亮的，家里也有,上海
民脂民膏。主要还是底层老百姓的人工成本太低。,美国
茼蒿不是个菜吗？,上海
图3的仙客来也很漂亮,福建
这个洋牡丹开得比花店里卖的好,湖北
牡丹,浙江
世纪大道,江苏
1 是花毛茛，也叫洋牡丹,浙江
哈哈😂，今天也听到人讲茼蒿,上海
标题说是茼蒿，我信了还,山东
确实像茼蒿,吉林
1-2、毛茛、3、仙客来、4、紫玉兰,河南
我特意留了颗茼蒿，等它开花🌼,广东
花毛茛吧,广东
三个臭皮匠一个都没说对,江苏
洋牡丹啊。毛良茛,上海
洋牡丹成群好看的,上海
花毛莨，洋牡丹,云南
确实很像,广东
芹叶牡丹,浙江
洋牡丹，，芹叶牡丹，，花毛茛,山东
为什么你这里点赞是红色小人走路？🚶‍♀️‍➡️,广东
洋牡丹,上海
毛艮,江苏
洋牡丹,中国香港
洋牡丹：是芹菜不是茼蒿,江苏
洋牡丹啊,上海
花毛莨,北京
原来倒头就睡不是我的问题,上海
嗯……确实像,广东
洋牡丹，我们叫它断头花，因为买回家插花瓶里它就会自己断头,上海
洋牡丹，,江苏
不是叫桔梗花麽,安徽
买了刚种上的晚上，我爸问我种芹菜干嘛,江苏
点赞居然是个粉色小人,广东
点赞居然是个粉色小人,广东
一二是洋牡丹,江苏
洋牡丹 仙客来 玉兰,江苏
洋牡丹啦,上海
茼蒿也有春天,陕西
花毛茛，也叫洋牡丹,安徽
那把花毛茛的叶子剪下来下火锅,湖北
恨不得飞过去偷回来～,湖北
我就很少养出这么大花型的花毛茛，都是鸡蛋大小。换啥盆土都这样。,云南
"你别说, 真的很像, 我爱吃茼蒿",上海
第一次见这么矮的洋牡丹,江西
洋牡丹。。。,上海
跟那个蛋糕一样,上海
Qio 实很像茼蒿哒,四川
洋牡丹,内蒙古
吃吃吃就知道吃,上海
叶子像茼蒿,上海
p1和p2是洋牡丹，p3是仙客来，但具体的品种就不知道了,吉林
洋牡丹和仙客来,安徽
茼蒿开花也好漂亮的、其实也可以在绿化带种茼蒿，这样两用，冬天可以吃，春天可以开花、完美,广东
所以人们是怎么发现茼蒿可以吃，这个叶子不能吃呢,四川
哈哈哈哈，嗲额,日本
芹叶牡丹,德国
好像是花毛茛。有次单位搞活动，我得了一盆，结果没养几天烂根死了,湖北
绿化带系列,上海
明明是芹菜,甘肃
吃货眼里谁都是盘菜,上海
你还真别说,江苏
花毛茛，仙客来，玉兰（看看我的地栽花毛茛,浙江
洋牡丹：我长得那么美，你说我是茼蒿,上海
有点像花毛茛,上海
哈哈绿化带的花都好看,江苏
茼蒿茼蒿花可漂亮了,广西
第一次觉得洋牡丹像牡丹花了，之前还说咋这名字，感觉一点不像呢,河北
虽然长得像但是不兴吃啊,天津
洋牡丹！,广东
洋牡丹，学名花毛茛,安徽
洋牡丹,广东
它甚至可以叫芹叶牡丹，结果叫人家茼蒿,山东
其实是芹菜开花,辽宁
还得是陆家嘴，绿化带是洋牡丹,上海
洋牡丹：怎么说我是茼蒿，我是芹菜,江苏
洋牡丹表示很委屈,上海
洋牡丹自此与茼蒿并入一家,浙江
