note-text,,,,,,,,,,,,note-text,
跟着学习一下,,,,,,,,,,,,太好看了吧！！,
我们村的,,,,,,,,,,,,好漂亮的村子，房屋都好新,
苏州绿化带想别别苗头，哈哈,,,,,,,,,,,,哇，这是苏州哪里啊，好美好美,
博士后吧,,,,,,,,,,,,,
太羡慕了 黑龙江还在看雪花,,,,,,,,,,,,雪花也是花??,
哈哈哈 哪里都是花海,,,,,,,,,,,,第三张那个镜子厉害了 真的是油画的感觉,
各区都在比谁交的税好看,,,,,,,,,,,,交都交了好看就重要起来了哈哈哈,
,,,,,,,,,,,,这个只能说花挺多的，但是没有啥美感,
,,,,,,,,,,,,哪里啊,
,,,,,,,,,,,,哇这是哪里,
有幸在去年春天逛了青年公园，审美太高级了,,,,,,,,,,,,说的是共青森林公园么？,
新鲜出炉,,,,,,,,,,,,这是哪里啊 好可爱,
真好看,,,,,,,,,,,,祝你生日快乐????????,
特别美！,,,,,,,,,,,,大宁公园吗,
有点过分了你们！作为东三省的狂热园艺爱好者、花痴看的心嫉妒的颤抖！,,,,,,,,,,,,我婆婆是吉林人，来了上海种了满阳台的花，小区有个园艺志愿者队还给她送花苗，开心坏了,
真好看，过年去上海，看到绿化带里都是冬青，真好看，居然用这么贵的花，居然没人偷,,,,,,,,,,,,这可不兴偷啊,
第一次在现实里看见美得发光的郁金香,,,,,,,,,,,,今年上海巨多郁金香啊,
,,,,,,,,,,,,小哥哥好有才，帅吗,
绿化真的好看哎，不是绿化带是公园,,,,,,,,,,,,这是哪个公园,
谁懂冬天走在路上看到冬青在绿化带里的震惊,,,,,,,,,,,,有被震撼到，咱这边随便一棵北美冬青都要一两百，沪爷种绿化带，随街可见，那叫一个豪横。,
,,,,,,,,,,,,这是哪里？？好美,
,,,,,,,,,,,,杨浦滨江，我也拍啦,
我们家也学习了一下,,,,,,,,,,,,像油画，花再多点就更美了,
今天刚在中山公园拍的,,,,,,,,,,,,粉紫色系配色绝绝子,
杨浦的,,,,,,,,,,,,娇艳欲滴,
上海到底花了多少钱买花啊？季季换……,,,,,,,,,,,,哪里季季啊，月月换,
