data_year,district,park_addr,park_area,park_name
2021,徐汇区,兴国路、湖南路、高邮路交汇处,7396,兴国小游园
2021,普陀区,富平路、万泉路东北角,4000,万泉花园
2021,闵行区,雅清路与沪闵公路之间,3665,雅清园
2021,松江区,滨湖路、文翔路西南角,1800,滨湖路、文翔路街心花园
2021,松江区,人乐小区实验小学旁,5000,人乐花园
2021,青浦区,漕盈路与海盈路路口,13800,海盈路月季园
2022,浦东新区,东建路锦和路路口,3500,光阴园
2022,徐汇区,天平路245号,1014,天平花园
2022,长宁区,中山西路延安西路西南角,6180,银河小游园
2022,长宁区,凯旋路凯田路东南角,3000,凯旋绿地
2022,普陀区,富平路、万泉路东北角,4000,万泉花园
2022,普陀区,真南路绿杨路西北角,3347,绿杨园
2022,普陀区,杨柳青路梅岭北路西北角、西南角,3685,杨柳青园
2022,虹口区,通州路海拉尔路路口,1085,童梦园
2022,杨浦区,昆明路荆州路东北角,3100,荆园
2022,闵行区,南辅路北侧,6600,南辅彩之园
2022,宝山区,通南路长江南路西南侧,2938,小五角花园
2022,嘉定区,环城河外圈嘉定东门吊桥南侧,9400,落英湾
2022,嘉定区,百富路百通路西南角,3000,闲趣园
2023,浦东新区,环林西路春延路东南角,6420,邻里绿地
2023,浦东新区,沪南公路康桥路西南角,7995,汇康苑
2023,浦东新区,栖山路居家桥路西南角,4931,金杨栖园
2023,浦东新区,潍坊八村南侧,8000,坊馨苑
2023,徐汇区,中山南二路151号,1152,报业花园
2023,徐汇区,衡山路建国西路路口,1455,衡山花园
2023,静安区,威海路陕西北路路口,1860,威海路花园
2023,普陀区,礼尚路礼泉路东北角,5000,礼尚园
2023,普陀区,大渡河路梅岭北路口,6298,梅川园
2023,闵行区,剑川路北（景东路-宝秀路）,5000,剑川玉槿园
2023,金山区,金一东路金山宾馆西侧,5296,金宾花园
2023,崇明区,港沿镇合五公路草港公路西南角,5400,黄杨源小游园
2024,浦东新区,世纪大道（浦东南路-南泉北路）,9000,世纪大道樱花园
2024,浦东新区,浦东大道苗圃路东南角,1200,泾馨绿地
2024,浦东新区,国耀路博航路西北角,2000,云飞园
2024,徐汇区,兴国路、湖南路、高邮路交汇处,7396,兴国小游园
2024,徐汇区,肇嘉浜路（陕西南路-大木桥路）,1600,嘉善路小游园
2024,长宁区,江苏路延安西路交叉口,4300,华山新语
2024,普陀区,礼尚路礼泉路东北角,5000,礼尚园
2024,普陀区,武宁路兰溪路西南角,2185,榆宁园
2024,杨浦区,兰州路丹阳路东北角,1764,双梅花园
2024,闵行区,合川路西侧，东兰路至平南路,5000,合川醉妍园
2024,闵行区,浦锦南路江汉路路口,7490,锦舒园
2024,闵行区,江园路向明中学东,4584,锦习园
2024,闵行区,沪闵路报春路东北角,2660,云之丘
2024,闵行区,兴虹路申滨路西北角,946,候花园
2024,闵行区,纪翟路北青公路东南角,7791,紫隄园
2024,松江区,中山东路普照路东北角,4338,老水厂花园
2024,浦东新区,东明路东侧(昌里路-成山路),6538,争渡园
2024,浦东新区,鹤沙路鹤恒路西北角,7173,春梦园
2021,虹口区,通州路海拉尔路路口,1085,童梦园
2021,闵行区,合川路西侧，东兰路至平南路,5000,合川醉妍园
2021,闵行区,莘建东路沪闵公路路口,6569,莘心园
2021,松江区,人民北路、南期昌路东南角,7700,人民路、其昌路街心花园
2021,奉贤区,南桥镇育秀路古华路,5700,育秀园
2022,浦东新区,栩妙路陶桥路路口,3000,栩妙园
2022,静安区,新闸路昌化路西北角,1723,昌新花园
2023,浦东新区,上南路成山路东北角,2000,思博园
2023,黄浦区,淮海中路、重庆南路口,4250,四明里绿地
2023,黄浦区,半淞园路南浦大桥下,3594,蓝调花园
2023,徐汇区,高安路衡山路路口,1300,高安花园
2023,徐汇区,漕溪路地铁站东侧,6070,凯旋小游园
2023,静安区,长宁路万航渡路西南角,1745,曹家渡绿岛花园
2023,虹口区,三河路300号甲,8200,三河路300号甲绿地
2023,虹口区,东长治路商丘路路口,1603,雷士德花园
2023,闵行区,都市路以西，金阳路以南,5000,复地街心花园
2023,松江区,思贤路通波路西北角,7980,通贤园
2023,崇明区,长兴镇兴甘路（长涛路-潘园公路）两侧,6774,花漾兴港
2024,黄浦区,南苏州路中山东一路路口,3000,最美花园
2024,黄浦区,柳林路太仓东路西藏南路,2000,启园
2024,徐汇区,桂林路桂林西街路口,1700,五月花园
2024,徐汇区,富民路长乐路路口,950,田汉花园
2024,静安区,新闸路昌化路西北角,1723,昌新花园
2024,虹口区,昆明路唐山路路口,2030,下海庙花园
2024,虹口区,车站北路水电路路口,3327,花溪园
2024,杨浦区,国伟路闸殷路交叉路口,5500,国伟路公共绿地
2024,闵行区,浦锦路联航路路口,5768,锦香园
2024,宝山区,美文路北侧、规划罗店路西侧,24900,美文路小游园
2024,奉贤区,档案馆西侧,5300,小梅园
2024,松江区,西林北路荣乐中路东北角,3000,民乐花园
2024,青浦区,万寿路万寿二路路口,2050,尚美文化园
2021,黄浦区,复兴中路与济南路路口,2740,光音花园
2021,长宁区,虹桥路1980号,13300,青春小游园
2021,普陀区,金沙江路、泸定路,7300,梦栖园
2021,普陀区,古浪路桃浦西路东南角,2714,彩丘园
2021,普陀区,铜川路南侧（真华南路-大场浦河）,7741,静宁花园
2021,宝山区,逸仙小区南小门外西侧,1215,青石小游园
2021,奉贤区,档案馆西侧,5300,小梅园
2022,浦东新区,博兴路柳埠路路口,4623,博兴园
2022,黄浦区,西藏中路与北京西路交界处,9000,大观园绿地
2022,普陀区,金沙江路、泸定路,7300,梦栖园
2022,松江区,人民北路、南期昌路东南角,7700,人民路、其昌路街心花园
2023,浦东新区,盛苑路高青路东北角,8000,盛苑
2023,浦东新区,东绣路288号北侧,5348,水影梅香
2023,浦东新区,向城路（东方国际科技大厦旁）,4059,星想园
